filename,width,height,class,xmin,ymin,xmax,ymax
staffordshire_bull_terrier_135.jpg,500,375,staffordshire_bull_terrier,186,109,272,185
Egyptian_Mau_107.jpg,250,357,Egyptian_Mau,133,1,228,91
havanese_158.jpg,500,375,havanese,137,45,338,243
english_cocker_spaniel_157.jpg,500,485,english_cocker_spaniel,142,37,339,211
Sphynx_202.jpg,500,332,Sphynx,208,78,315,185
saint_bernard_133.jpg,500,375,saint_bernard,128,85,353,271
Egyptian_Mau_140.jpg,500,375,Egyptian_Mau,251,121,316,191
Persian_181.jpg,500,376,Persian,183,7,320,140
english_setter_113.jpg,500,335,english_setter,197,53,398,196
keeshond_124.jpg,333,500,keeshond,49,20,301,318
staffordshire_bull_terrier_181.jpg,500,375,staffordshire_bull_terrier,127,75,269,189
scottish_terrier_12.jpg,500,500,scottish_terrier,193,1,448,299
english_setter_157.jpg,500,364,english_setter,186,66,402,324
British_Shorthair_15.jpg,600,434,British_Shorthair,73,13,216,154
german_shorthaired_116.jpg,500,375,german_shorthaired,196,92,358,212
pug_151.jpg,198,300,pug,2,29,193,173
scottish_terrier_11.jpg,500,375,scottish_terrier,149,49,269,238
leonberger_101.jpg,500,333,leonberger,133,127,222,204
wheaten_terrier_111.jpg,500,375,wheaten_terrier,265,82,349,177
great_pyrenees_105.jpg,500,375,great_pyrenees,140,100,295,247
Abyssinian_122.jpg,300,278,Abyssinian,195,10,278,100
pomeranian_137.jpg,300,225,pomeranian,61,12,182,138
boxer_182.jpg,500,435,boxer,152,182,226,248
chihuahua_166.jpg,300,225,chihuahua,112,1,197,114
english_setter_156.jpg,500,333,english_setter,119,48,265,155
american_bulldog_118.jpg,375,500,american_bulldog,134,207,328,393
japanese_chin_160.jpg,500,334,japanese_chin,56,46,356,250
newfoundland_174.jpg,500,375,newfoundland,238,25,425,210
Bombay_11.jpg,300,284,Bombay,29,5,246,211
Sphynx_116.jpg,332,500,Sphynx,51,47,293,290
British_Shorthair_130.jpg,500,333,British_Shorthair,135,30,378,243
pomeranian_127.jpg,225,300,pomeranian,89,60,173,158
Birman_140.jpg,500,333,Birman,46,67,232,226
pomeranian_169.jpg,217,300,pomeranian,53,26,147,98
saint_bernard_169.jpg,500,388,saint_bernard,235,69,440,279
Abyssinian_111.jpg,500,402,Abyssinian,298,94,423,213
saint_bernard_125.jpg,392,500,saint_bernard,84,76,345,353
Siamese_180.jpg,500,367,Siamese,189,36,286,142
american_bulldog_194.jpg,461,500,american_bulldog,138,22,360,201
Ragdoll_104.jpg,500,483,Ragdoll,165,75,376,288
german_shorthaired_163.jpg,333,500,german_shorthaired,41,136,173,249
american_pit_bull_terrier_125.jpg,300,225,american_pit_bull_terrier,4,12,156,139
basset_hound_15.jpg,500,332,basset_hound,45,3,205,160
havanese_165.jpg,500,332,havanese,143,94,302,214
yorkshire_terrier_119.jpg,300,199,yorkshire_terrier,160,34,222,111
miniature_pinscher_118.jpg,300,225,miniature_pinscher,102,1,246,99
keeshond_143.jpg,500,373,keeshond,179,99,267,189
beagle_147.jpg,500,335,beagle,156,152,201,203
scottish_terrier_108.jpg,500,375,scottish_terrier,173,75,320,278
Bombay_105.jpg,750,498,Bombay,262,30,516,295
saint_bernard_174.jpg,500,333,saint_bernard,177,37,422,280
yorkshire_terrier_158.jpg,300,225,yorkshire_terrier,80,4,251,121
shiba_inu_118.jpg,371,500,shiba_inu,176,141,266,228
Egyptian_Mau_134.jpg,400,420,Egyptian_Mau,17,1,102,81
Ragdoll_150.jpg,320,213,Ragdoll,120,3,237,131
British_Shorthair_186.jpg,500,375,British_Shorthair,148,33,349,245
american_bulldog_200.jpg,500,319,american_bulldog,177,9,353,143
Abyssinian_140.jpg,500,333,Abyssinian,231,87,323,154
Siamese_140.jpg,367,500,Siamese,181,52,364,238
Abyssinian_14.jpg,335,500,Abyssinian,164,71,252,163
scottish_terrier_120.jpg,416,500,scottish_terrier,162,40,387,305
german_shorthaired_165.jpg,500,375,german_shorthaired,299,79,476,200
wheaten_terrier_12.jpg,500,333,wheaten_terrier,123,21,356,211
Egyptian_Mau_195.jpg,700,560,Egyptian_Mau,238,139,440,354
american_bulldog_107.jpg,376,500,american_bulldog,87,68,272,224
american_bulldog_147.jpg,500,333,american_bulldog,255,71,316,137
yorkshire_terrier_100.jpg,500,375,yorkshire_terrier,159,2,419,230
newfoundland_14.jpg,500,379,newfoundland,148,39,355,244
american_pit_bull_terrier_116.jpg,300,199,american_pit_bull_terrier,130,62,194,110
staffordshire_bull_terrier_170.jpg,500,375,staffordshire_bull_terrier,182,123,383,294
shiba_inu_172.jpg,500,365,shiba_inu,105,25,373,331
pomeranian_10.jpg,500,333,pomeranian,193,47,340,154
Bombay_168.jpg,500,375,Bombay,196,136,304,270
staffordshire_bull_terrier_10.jpg,500,375,staffordshire_bull_terrier,90,28,321,302
Abyssinian_148.jpg,500,375,Abyssinian,303,78,460,219
Persian_1.jpg,275,196,Persian,42,22,115,84
British_Shorthair_182.jpg,427,500,British_Shorthair,71,58,357,305
saint_bernard_152.jpg,500,332,saint_bernard,110,91,264,253
Maine_Coon_1.jpg,174,226,Maine_Coon,62,7,129,68
chihuahua_12.jpg,500,375,chihuahua,292,15,416,196
Persian_103.jpg,500,375,Persian,110,48,403,258
leonberger_108.jpg,500,462,leonberger,25,4,495,411
Abyssinian_118.jpg,333,500,Abyssinian,1,34,257,303
samoyed_134.jpg,375,500,samoyed,86,23,276,208
leonberger_185.jpg,500,375,leonberger,150,22,295,145
Bengal_178.jpg,300,225,Bengal,64,17,157,111
Bengal_172.jpg,300,269,Bengal,60,90,122,159
staffordshire_bull_terrier_119.jpg,500,375,staffordshire_bull_terrier,217,97,370,211
beagle_107.jpg,500,361,beagle,148,86,336,238
Ragdoll_121.jpg,500,484,Ragdoll,123,17,367,317
Siamese_201.jpg,235,270,Siamese,53,16,137,98
Ragdoll_106.jpg,500,409,Ragdoll,186,38,336,170
beagle_112.jpg,333,500,beagle,24,227,232,392
scottish_terrier_117.jpg,381,480,scottish_terrier,83,28,336,291
Russian_Blue_135.jpg,500,421,Russian_Blue,228,90,331,207
samoyed_185.jpg,374,500,samoyed,173,105,282,277
staffordshire_bull_terrier_177.jpg,500,375,staffordshire_bull_terrier,244,105,345,211
newfoundland_128.jpg,400,500,newfoundland,163,60,354,220
leonberger_130.jpg,500,333,leonberger,99,47,205,133
Siamese_153.jpg,500,333,Siamese,247,39,347,146
Sphynx_102.jpg,500,334,Sphynx,117,56,278,254
american_bulldog_112.jpg,333,500,american_bulldog,64,64,217,206
great_pyrenees_145.jpg,500,333,great_pyrenees,130,39,344,267
american_pit_bull_terrier_165.jpg,300,225,american_pit_bull_terrier,115,9,267,170
pug_139.jpg,300,235,pug,52,15,234,138
pomeranian_171.jpg,225,300,pomeranian,50,25,128,133
Birman_182.jpg,500,333,Birman,129,24,352,263
Bengal_166.jpg,225,300,Bengal,65,35,163,143
boxer_151.jpg,500,333,boxer,188,44,367,259
shiba_inu_194.jpg,500,333,shiba_inu,111,13,281,236
english_cocker_spaniel_130.jpg,500,333,english_cocker_spaniel,122,23,319,285
Egyptian_Mau_116.jpg,450,354,Egyptian_Mau,94,7,173,98
great_pyrenees_11.jpg,383,480,great_pyrenees,101,127,213,234
beagle_139.jpg,375,500,beagle,77,76,262,233
scottish_terrier_152.jpg,500,375,scottish_terrier,288,76,498,299
english_setter_175.jpg,500,333,english_setter,183,87,349,253
pug_184.jpg,300,225,pug,85,53,167,118
havanese_134.jpg,500,334,havanese,166,93,288,197
Siamese_116.jpg,334,500,Siamese,73,91,233,299
american_bulldog_136.jpg,333,500,american_bulldog,57,142,230,340
Ragdoll_171.jpg,334,500,Ragdoll,28,73,261,332
newfoundland_13.jpg,333,500,newfoundland,91,127,187,225
newfoundland_114.jpg,500,375,newfoundland,172,138,390,351
great_pyrenees_116.jpg,384,500,great_pyrenees,64,64,266,282
saint_bernard_14.jpg,500,375,saint_bernard,102,88,228,184
Bengal_140.jpg,300,163,Bengal,31,10,87,65
american_bulldog_193.jpg,500,335,american_bulldog,1,7,351,302
Ragdoll_180.jpg,375,500,Ragdoll,96,65,238,221
english_cocker_spaniel_139.jpg,500,333,english_cocker_spaniel,173,14,317,141
Birman_187.jpg,500,334,Birman,151,68,315,212
japanese_chin_10.jpg,410,500,japanese_chin,69,88,211,210
British_Shorthair_151.jpg,500,375,British_Shorthair,177,73,248,146
leonberger_132.jpg,500,333,leonberger,127,65,357,249
yorkshire_terrier_130.jpg,173,200,yorkshire_terrier,30,4,167,107
staffordshire_bull_terrier_111.jpg,500,376,staffordshire_bull_terrier,83,20,282,219
British_Shorthair_181.jpg,333,500,British_Shorthair,90,97,292,281
american_pit_bull_terrier_185.jpg,300,276,american_pit_bull_terrier,36,1,196,188
havanese_124.jpg,500,375,havanese,10,19,237,182
english_setter_126.jpg,500,375,english_setter,173,74,314,217
japanese_chin_142.jpg,500,410,japanese_chin,120,19,367,235
wheaten_terrier_138.jpg,500,375,wheaten_terrier,99,113,175,213
english_setter_127.jpg,500,331,english_setter,168,63,349,278
pug_147.jpg,300,224,pug,77,23,243,164
staffordshire_bull_terrier_171.jpg,500,375,staffordshire_bull_terrier,170,106,354,248
chihuahua_144.jpg,300,230,chihuahua,53,17,136,113
Egyptian_Mau_13.jpg,334,500,Egyptian_Mau,110,47,225,175
english_cocker_spaniel_105.jpg,484,500,english_cocker_spaniel,3,2,467,496
staffordshire_bull_terrier_114.jpg,500,375,staffordshire_bull_terrier,197,103,380,246
samoyed_171.jpg,500,333,samoyed,125,93,247,250
Egyptian_Mau_110.jpg,240,194,Egyptian_Mau,165,65,224,127
leonberger_178.jpg,334,500,leonberger,148,47,289,164
beagle_109.jpg,500,329,beagle,93,24,312,171
great_pyrenees_168.jpg,500,375,great_pyrenees,161,2,278,117
Bengal_120.jpg,500,375,Bengal,141,124,241,217
saint_bernard_120.jpg,500,331,saint_bernard,148,137,212,191
leonberger_147.jpg,500,333,leonberger,45,37,161,123
Persian_150.jpg,333,500,Persian,118,76,269,229
Maine_Coon_105.jpg,500,333,Maine_Coon,25,1,331,277
great_pyrenees_137.jpg,500,333,great_pyrenees,201,117,407,289
Bengal_180.jpg,300,238,Bengal,223,77,285,145
chihuahua_168.jpg,248,300,chihuahua,35,2,241,160
boxer_163.jpg,500,375,boxer,144,110,326,267
english_setter_145.jpg,500,375,english_setter,160,12,290,155
miniature_pinscher_108.jpg,500,333,miniature_pinscher,74,13,341,280
scottish_terrier_170.jpg,500,375,scottish_terrier,146,1,412,305
Bengal_115.jpg,333,500,Bengal,146,16,284,153
Birman_164.jpg,352,319,Birman,45,10,315,309
german_shorthaired_189.jpg,500,375,german_shorthaired,62,35,313,226
english_setter_177.jpg,500,479,english_setter,257,34,437,180
Persian_143.jpg,500,333,Persian,198,108,275,190
Russian_Blue_122.jpg,500,375,Russian_Blue,164,35,375,283
newfoundland_18.jpg,500,375,newfoundland,108,21,337,226
wheaten_terrier_144.jpg,500,375,wheaten_terrier,160,93,300,224
leonberger_103.jpg,500,333,leonberger,51,22,140,102
american_pit_bull_terrier_110.jpg,263,300,american_pit_bull_terrier,95,54,193,155
Birman_124.jpg,500,333,Birman,251,1,459,210
British_Shorthair_197.jpg,500,375,British_Shorthair,128,5,359,248
english_cocker_spaniel_185.jpg,500,375,english_cocker_spaniel,206,119,275,192
american_bulldog_178.jpg,500,334,american_bulldog,187,32,320,156
german_shorthaired_114.jpg,500,264,german_shorthaired,303,7,489,189
Abyssinian_152.jpg,424,500,Abyssinian,154,38,336,238
boxer_173.jpg,375,500,boxer,152,231,209,289
Persian_168.jpg,500,333,Persian,280,88,464,241
yorkshire_terrier_125.jpg,200,150,yorkshire_terrier,52,30,132,107
basset_hound_116.jpg,500,375,basset_hound,239,94,353,236
havanese_163.jpg,432,500,havanese,199,181,386,326
english_cocker_spaniel_190.jpg,500,375,english_cocker_spaniel,122,84,231,209
havanese_113.jpg,500,375,havanese,78,66,291,227
american_bulldog_140.jpg,500,333,american_bulldog,29,1,451,310
basset_hound_131.jpg,500,375,basset_hound,138,65,285,368
newfoundland_102.jpg,500,375,newfoundland,163,89,342,253
chihuahua_127.jpg,300,225,chihuahua,155,1,242,106
scottish_terrier_168.jpg,500,417,scottish_terrier,183,92,291,259
staffordshire_bull_terrier_132.jpg,500,333,staffordshire_bull_terrier,149,134,291,286
British_Shorthair_203.jpg,500,375,British_Shorthair,108,29,352,243
pomeranian_13.jpg,500,375,pomeranian,157,46,263,181
Sphynx_178.jpg,333,500,Sphynx,116,49,249,192
pug_170.jpg,300,201,pug,84,7,240,114
Sphynx_166.jpg,500,375,Sphynx,303,121,429,247
newfoundland_105.jpg,500,375,newfoundland,108,132,261,253
shiba_inu_153.jpg,500,416,shiba_inu,110,47,253,263
Persian_112.jpg,433,400,Persian,55,20,409,346
pug_114.jpg,375,500,pug,55,118,252,260
Maine_Coon_134.jpg,333,500,Maine_Coon,88,42,194,166
Birman_135.jpg,375,500,Birman,64,61,257,239
german_shorthaired_125.jpg,500,375,german_shorthaired,157,56,264,116
Persian_149.jpg,500,375,Persian,272,20,454,195
english_cocker_spaniel_147.jpg,500,335,english_cocker_spaniel,224,85,375,272
wheaten_terrier_156.jpg,500,375,wheaten_terrier,98,46,179,134
beagle_118.jpg,500,336,beagle,188,121,253,174
japanese_chin_156.jpg,375,500,japanese_chin,129,64,289,228
scottish_terrier_171.jpg,500,375,scottish_terrier,184,36,412,322
Ragdoll_146.jpg,500,375,Ragdoll,206,79,279,146
staffordshire_bull_terrier_152.jpg,500,375,staffordshire_bull_terrier,160,97,345,217
wheaten_terrier_127.jpg,500,442,wheaten_terrier,251,51,427,200
wheaten_terrier_129.jpg,500,375,wheaten_terrier,187,61,332,219
pomeranian_140.jpg,300,225,pomeranian,110,5,214,134
wheaten_terrier_109.jpg,333,500,wheaten_terrier,39,30,332,312
Abyssinian_161.jpg,640,480,Abyssinian,224,1,470,200
boxer_175.jpg,500,333,boxer,232,44,308,112
saint_bernard_186.jpg,500,333,saint_bernard,103,62,245,197
Russian_Blue_103.jpg,500,375,Russian_Blue,96,52,187,162
newfoundland_177.jpg,333,500,newfoundland,13,17,317,309
leonberger_107.jpg,333,500,leonberger,92,145,193,248
saint_bernard_108.jpg,500,333,saint_bernard,220,90,316,178
Birman_133.jpg,500,375,Birman,156,158,226,228
saint_bernard_147.jpg,500,335,saint_bernard,123,64,420,322
Persian_133.jpg,500,313,Persian,84,16,386,275
american_pit_bull_terrier_142.jpg,300,222,american_pit_bull_terrier,182,81,236,148
chihuahua_10.jpg,500,333,chihuahua,95,1,404,297
Egyptian_Mau_124.jpg,330,300,Egyptian_Mau,180,7,259,95
english_cocker_spaniel_136.jpg,332,500,english_cocker_spaniel,23,135,293,422
scottish_terrier_185.jpg,500,433,scottish_terrier,51,1,389,358
Persian_128.jpg,500,334,Persian,147,40,273,156
wheaten_terrier_133.jpg,500,375,wheaten_terrier,311,102,380,204
Abyssinian_131.jpg,311,320,Abyssinian,17,25,206,180
Egyptian_Mau_142.jpg,360,270,Egyptian_Mau,144,81,221,161
english_setter_131.jpg,375,500,english_setter,77,149,262,291
saint_bernard_131.jpg,500,333,saint_bernard,65,56,211,198
english_setter_161.jpg,500,375,english_setter,319,111,403,211
Sphynx_157.jpg,500,354,Sphynx,241,16,349,127
german_shorthaired_131.jpg,500,375,german_shorthaired,90,209,246,357
miniature_pinscher_119.jpg,246,300,miniature_pinscher,23,23,140,166
keeshond_103.jpg,500,401,keeshond,138,80,398,384
Maine_Coon_141.jpg,500,375,Maine_Coon,282,40,374,131
samoyed_104.jpg,500,333,samoyed,187,18,320,179
pug_176.jpg,300,227,pug,92,20,205,126
Birman_145.jpg,500,375,Birman,225,147,314,242
english_setter_148.jpg,500,354,english_setter,91,12,369,242
Maine_Coon_143.jpg,332,500,Maine_Coon,75,77,273,292
american_bulldog_122.jpg,500,333,american_bulldog,168,19,331,162
keeshond_188.jpg,500,375,keeshond,13,72,247,339
Bengal_179.jpg,300,225,Bengal,128,22,238,126
scottish_terrier_123.jpg,500,375,scottish_terrier,246,1,459,264
Bombay_139.jpg,450,297,Bombay,102,62,180,135
miniature_pinscher_155.jpg,200,149,miniature_pinscher,6,1,151,100
american_pit_bull_terrier_168.jpg,288,300,american_pit_bull_terrier,115,37,192,136
saint_bernard_183.jpg,500,333,saint_bernard,66,42,174,143
boxer_168.jpg,500,334,boxer,70,1,367,269
Siamese_138.jpg,333,500,Siamese,124,62,243,188
Sphynx_117.jpg,334,500,Sphynx,143,154,237,250
wheaten_terrier_150.jpg,500,375,wheaten_terrier,51,49,217,203
Persian_169.jpg,376,500,Persian,122,47,313,241
havanese_146.jpg,500,379,havanese,121,38,455,280
Abyssinian_12.jpg,335,500,Abyssinian,94,83,211,190
german_shorthaired_109.jpg,500,335,german_shorthaired,311,25,390,97
keeshond_14.jpg,500,375,keeshond,175,50,368,231
Bombay_19.jpg,420,315,Bombay,117,25,314,227
Egyptian_Mau_141.jpg,500,332,Egyptian_Mau,81,30,166,128
english_cocker_spaniel_153.jpg,500,281,english_cocker_spaniel,148,82,282,213
Abyssinian_108.jpg,500,404,Abyssinian,50,14,336,304
British_Shorthair_113.jpg,457,500,British_Shorthair,223,179,322,284
american_bulldog_179.jpg,500,334,american_bulldog,39,9,415,312
english_setter_151.jpg,334,500,english_setter,64,52,259,212
boxer_17.jpg,400,500,boxer,122,59,375,309
english_setter_190.jpg,500,375,english_setter,277,16,406,143
Persian_140.jpg,358,500,Persian,84,99,295,300
english_setter_12.jpg,360,500,english_setter,7,35,331,359
Russian_Blue_170.jpg,500,333,Russian_Blue,86,73,189,172
Maine_Coon_175.jpg,375,500,Maine_Coon,102,15,272,204
american_pit_bull_terrier_114.jpg,300,246,american_pit_bull_terrier,33,34,177,178
British_Shorthair_170.jpg,500,342,British_Shorthair,131,30,393,264
Sphynx_176.jpg,330,500,Sphynx,22,27,277,264
newfoundland_147.jpg,500,334,newfoundland,88,37,370,295
great_pyrenees_176.jpg,357,500,great_pyrenees,11,51,200,211
havanese_138.jpg,500,339,havanese,53,104,154,184
american_pit_bull_terrier_136.jpg,300,225,american_pit_bull_terrier,103,55,220,146
english_cocker_spaniel_13.jpg,333,500,english_cocker_spaniel,1,52,331,349
miniature_pinscher_180.jpg,300,245,miniature_pinscher,27,14,137,149
german_shorthaired_14.jpg,500,371,german_shorthaired,292,175,439,302
Abyssinian_190.jpg,297,300,Abyssinian,45,41,136,138
leonberger_137.jpg,500,333,leonberger,102,28,405,297
chihuahua_146.jpg,300,225,chihuahua,94,86,159,146
Egyptian_Mau_105.jpg,450,427,Egyptian_Mau,177,1,336,160
Ragdoll_194.jpg,334,500,Ragdoll,67,37,281,227
Bengal_122.jpg,500,333,Bengal,34,46,189,219
pomeranian_176.jpg,300,225,pomeranian,101,22,183,122
samoyed_127.jpg,500,374,samoyed,120,2,245,154
saint_bernard_175.jpg,500,375,saint_bernard,88,53,164,137
Persian_102.jpg,376,500,Persian,3,16,282,307
Maine_Coon_146.jpg,380,500,Maine_Coon,131,139,290,333
american_pit_bull_terrier_183.jpg,225,300,american_pit_bull_terrier,17,1,207,130
staffordshire_bull_terrier_12.jpg,350,500,staffordshire_bull_terrier,101,77,209,310
Bengal_12.jpg,500,335,Bengal,28,34,210,239
